FUND TYPE,FUND CODE,FUND DESCRIPTION,DEPARTMENT NUMBER,DEPARTMENT DESCRIPTION,APPROPRIATION AUTHORITY,APPROPRIATION AUTHORITY DESCRIPTION,APPROPRIATION ACCOUNT,APPROPRIATION ACCOUNT DESCRIPTION,2019 ORDINANCE (AMOUNT $)
LOCAL,0100,CORPORATE FUND,99,FINANCE GENERAL,2005,FINANCE GENERAL,140,PROFESSIONAL AND TECHNICAL SERVICES,56030209.00
LOCAL,0100,CORPORATE FUND,58,OEMC,2705,OEMC,140,PROFESSIONAL AND TECHNICAL SERVICES,6800.00
LOCAL,0100,CORPORATE FUND,84,CDOT,2130,Traffic Safety,181,MOBILE COMMUNICATION SERVICES,3045.00
LOCAL,0200,WATER FUND,88,DWM,2035,METER SERVICES,15,SCHEDULE SALARY ADJUSTMENTS,13897.00
GRANTS,0293,RENTAL REHABILITATION,21,HOUSING,2830,Rental Rehabilitation,140,PROFESSIONAL AND TECHNICAL SERVICES,6139000.00
GRANTS,0Y49,PERFORMANCE PARTNERSHIP PILOTS FOR YOUTH,50,DFSS,2961,Performance Partnership-Youth,135,DELEGATE AGENCIES,874000.00
LOCAL,0200,WATER FUND,88,DWM,2035,METER SERVICES,340,MATERIAL AND SUPPLIES,40500.00
LOCAL,0314,SEWER FUND,99,FINANCE GENERAL,2005,FINANCE GENERAL,959,BOND FEES AND COSTS,39000.00
LOCAL,0100,CORPORATE FUND,28,TREASURER,2005,CITY TREASURER,197,TELEPHONE - MAINTENANCE,410.00
LOCAL,0353,EMERGENCY COMMUN FD,58,OEMC,2705,OEMC,197,TELEPHONE - MAINTENANCE,3218612.00
LOCAL,0100,CORPORATE FUND,30,ADMINISTRATIVE HEARINGS,2005,ADMINISTRATIVE HEARINGS,162,REPAIR/MAINT EQUIPMENT,2175.00
GRANTS,0Z66,COPS HIRING PROGRAM,57,CPD,2983,COPS HIRING PROGRAM,44,FRINGE BENEFITS,487271.00
LOCAL,0B41,NEIGHBORHOOD OPPORTUNITY FUND,99,FINANCE GENERAL,2005,FINANCE GENERAL,45,PREM TERM LIFE INSURANCE,463.00
LOCAL,0610,MIDWAY AIRPORT FUND,99,FINANCE GENERAL,2005,FINANCE GENERAL,138,IT MAINTENANCE,1002838.00
LOCAL,0100,CORPORATE FUND,73,ANIMAL CARE / CONTROL,2005,ANIMAL CARE AND CONTROL,350,STATIONERY AND OFFICE SUPPLIES,9164.00
LOCAL,0610,MIDWAY AIRPORT FUND,27,FINANCE,2015,FINANCIAL STRATEGY AND OPS,149,SOFTWARE MAINTENANCE AND LICENSING,8542.00
GRANTS,0Y21,AREA PLAN ON AGING - OLDER AMERICANS ACT,50,DFSS,2904,AREA PLAN ON AGING - FEDERAL,245,REIMBURSEMENT TO TRAVELERS,1500.00
GRANTS,0P20,IL DEPT OF COMMERCE,70,BACP,2815,CABLE LOCAL ORIGINATION,138,IT MAINTENANCE,36833.00
LOCAL,0314,SEWER FUND,99,FINANCE GENERAL,2005,FINANCE GENERAL,49,WORKERS' COMPENSATION,5900000.00
LOCAL,0100,CORPORATE FUND,15,CITY COUNCIL,2010,COMMITTEE ON FINANCE,169,TECHNICAL MEETING COSTS,2500.00
GRANTS,0X42,HIV BEHAVIORAL SURVEILLANCE,41,HEALTH,2978,HIV BEHAVIORAL SURVEILLANCE,140,PROFESSIONAL AND TECHNICAL SERVICES,571124.00
LOCAL,0100,CORPORATE FUND,15,CITY COUNCIL,2010,COMMITTEE ON FINANCE,340,MATERIAL AND SUPPLIES,3500.00
LOCAL,0682,LABORERS' ANNUNITY AND BENEFIT,99,FINANCE GENERAL,2005,FINANCE GENERAL,976,EMPLOYEE ANNUITY AND BENEFIT,60000000.00
LOCAL,0100,CORPORATE FUND,41,HEALTH,1005,DEPARTMENT OF PUBLIC HEALTH,135,DELEGATE AGENCIES,14212290.00
LOCAL,0100,CORPORATE FUND,6,DOIT,2005,DOIT,130,POSTAGE,78.00
GRANTS,0V26,PORT SECURITY GRANT,58,OEMC,2831,PORT SECURITY GRANT,140,PROFESSIONAL AND TECHNICAL SERVICES,547000.00
LOCAL,0100,CORPORATE FUND,50,DFSS,2005,FAMILY AND SUPPORT SERVICES,350,STATIONERY AND OFFICE SUPPLIES,17150.00
LOCAL,0740,O HARE REVENUE FUND,38,FFM,2131,BUREAU OF ASSET MANAGEMENT,325,ALTERNATIVE FUEL,23518.00
LOCAL,0100,CORPORATE FUND,30,ADMINISTRATIVE HEARINGS,2005,ADMINISTRATIVE HEARINGS,179,MESSENGER SERVICES,3600.00
GRANTS,0Y13,OAA TITLE V SENIOR EMPLOYMENT SPECIALIST,50,DFSS,2807,OAA TITLE V SENIOR EMPLOYMENT,801,INDIRECT COSTS,3690.00
LOCAL,0300,VEHICLE FUND,84,CDOT,2135,INFRASTRUCTURE MANAGEMENT,181,MOBILE COMMUNICATION SERVICES,34500.00
LOCAL,0353,EMERGENCY COMMUN FD,58,OEMC,2705,OEMC,157,RENTAL EQUIPMENT AND SERVICES,526272.00
LOCAL,0200,WATER FUND,99,FINANCE GENERAL,2005,FINANCE GENERAL,121,INVESTIGATION COSTS-COMMITTEE ON FINANCE,602550.00
GRANTS,0T80,EARLY HEAD START INITIATIVE,50,DFSS,2857,EARLY HEAD START INITIATIVE,6,SALARY PROVISION,915000.00
LOCAL,0100,CORPORATE FUND,38,FFM,2140,FLEET OPERATIONS,140,PROFESSIONAL AND TECHNICAL SERVICES,4101649.00
LOCAL,0740,O HARE REVENUE FUND,99,FINANCE GENERAL,2005,FINANCE GENERAL,29,HMO PREMIUMS,8324102.00
LOCAL,0100,CORPORATE FUND,81,DSS,2060,BUREAU OF FORESTRY,140,PROFESSIONAL AND TECHNICAL SERVICES,1030350.00
GRANTS,0U23,IMMUNIZATION /VACCINES FOR CHILDREN,41,HEALTH,2820,IMMUNIZATIONS,348,BOOKS AND RELATED MATERIAL,19500.00
LOCAL,0100,CORPORATE FUND,35,DPS,2005,PROCUREMENT SERVICES,245,REIMBURSEMENT TO TRAVELERS,5000.00
GRANTS,0L99,NATIONAL PRIORITY SAFETY PROGRAM,84,CDOT,280G,National Priority Safety,140,PROFESSIONAL AND TECHNICAL SERVICES,500000.00
GRANTS,0Y34,HEAD START,50,DFSS,2860,HEAD START,169,TECHNICAL MEETING COSTS,50000.00
LOCAL,0100,CORPORATE FUND,81,DSS,2045,BUREAU OF STREET OPERATIONS,157,RENTAL EQUIPMENT AND SERVICES,234688.00
LOCAL,0100,CORPORATE FUND,48,MOPD,2005,MOPD,9438,REIMBURSEMENT - 2FM,23000.00
LOCAL,0100,CORPORATE FUND,45,HUMAN RELATIONS,2005,HUMAN RELATIONS,169,TECHNICAL MEETING COSTS,3000.00
GRANTS,0T81,EARLY HEAD START - CHILD PARTNERSHIP,50,DFSS,2956,EHS - Child Care Partnership,140,PROFESSIONAL AND TECHNICAL SERVICES,575847.00
LOCAL,0100,CORPORATE FUND,81,DSS,2005,COMMISSIONER'S OFFICE,931,TORT/NON-TORT JUDGMENT,540000.00
CDBG,0J45,CDBG,67,BUILDINGS,2505,TROUBLED BUILDINGS PROGRAM,15,SCHEDULE SALARY ADJUSTMENTS,24252.00
GRANTS,0U60,HOPWA,41,HEALTH,2932,HOPWA,140,PROFESSIONAL AND TECHNICAL SERVICES,46000.00
LOCAL,0200,WATER FUND,6,DOIT,2005,DOIT,197,TELEPHONE - MAINTENANCE,21593.00
LOCAL,0100,CORPORATE FUND,1,MAYOR,2005,OFFICE OF THE MAYOR,350,STATIONERY AND OFFICE SUPPLIES,30000.00
LOCAL,0314,SEWER FUND,88,DWM,2025,OPERATIONS AND DISTRIBUTION,190,TELEPHONE - NON-CENTREX BILLINGS,28000.00
LOCAL,0200,WATER FUND,3,OIG,2005,OFFICE OF INSPECTOR GENERAL,154,RENTAL-DATA HARDWARE EQ,10031.00
LOCAL,0610,MIDWAY AIRPORT FUND,99,FINANCE GENERAL,2005,FINANCE GENERAL,139,IT DEVELOPMENT,7054.00
GRANTS,0U52,BUILDING EPIDEMIOLOGY AND HEALTH IT CAPA,41,HEALTH,2710,BUILDING EPIDEMIOLOGY AND HLTH,11,CONTRACT WAGE - SALARY,7514.00
GRANTS,0W88,INNOVATIONS IN COMMUNITY BASED CRIME RED,57,CPD,280S,Innovations Com Base Crime Red,245,REIMBURSEMENT TO TRAVELERS,1000.00
GRANTS,0Y24,MEDICARE IMPROVEMENTS FOR PATIENTS AND P,50,DFSS,2937,MEDICARE IMPROVEMENTS,801,INDIRECT COSTS,4850.00
LOCAL,0100,CORPORATE FUND,38,FFM,2131,BUREAU OF ASSET MANAGEMENT,9160,PBC,529106.00
GRANTS,0U38,WOMEN  INFANTS AND CHILDREN NUTRITION,41,HEALTH,2808,WIC NUTRITION,140,PROFESSIONAL AND TECHNICAL SERVICES,59164.00
LOCAL,0740,O HARE REVENUE FUND,33,DHR,2005,HUMAN RESOURCES,15,SCHEDULE SALARY ADJUSTMENTS,497.00
LOCAL,0200,WATER FUND,88,DWM,2010,ADMINISTRATIVE SUPPORT,9438,REIMBURSEMENT - 2FM,82500.00
LOCAL,0346,LIBRARY FUND,99,FINANCE GENERAL,2005,FINANCE GENERAL,190,TELEPHONE - NON-CENTREX BILLINGS,144000.00
LOCAL,0100,CORPORATE FUND,60,COPA,2005,COPA,159,LEASE/PURCHASE EQUIPMENT,25420.00
LOCAL,0100,CORPORATE FUND,27,FINANCE,2015,FINANCIAL STRATEGY AND OPS,340,MATERIAL AND SUPPLIES,12941.00
LOCAL,0610,MIDWAY AIRPORT FUND,31,LAW,2005,LAW,140,PROFESSIONAL AND TECHNICAL SERVICES,29495.00
LOCAL,0740,O HARE REVENUE FUND,58,OEMC,2705,OEMC,20,OVERTIME,185000.00
GRANTS,0Y34,HEAD START,50,DFSS,2860,HEAD START,159,LEASE/PURCHASE EQUIPMENT,46289.00
LOCAL,0100,CORPORATE FUND,67,BUILDINGS,2005,BUILDINGS,12,CONTRACT WAGE - PREVAILING RATE,106697.00
LOCAL,0346,LIBRARY FUND,38,FFM,2140,FLEET OPERATIONS,360,REPAIR PARTS AND MATERIAL,24300.00
LOCAL,0200,WATER FUND,88,DWM,2035,METER SERVICES,140,PROFESSIONAL AND TECHNICAL SERVICES,5000.00
GRANTS,0V13,NAT. EXPLOSIVES DETECT. CANINE,57,CPD,2882,NAT. EXPLOSIVES DETECT. CANINE,140,PROFESSIONAL AND TECHNICAL SERVICES,8000.00
LOCAL,0100,CORPORATE FUND,15,CITY COUNCIL,2240,COMM ON HEALTH AND ENVIRONMENT,300,COMMODITIES AND MATERIALS,800.00
GRANTS,0V61,URBAN AREA SECURITY INITIATIVE,58,OEMC,2811,URBAN AREA SECURITY INITIATIVE,15,SCHEDULE SALARY ADJUSTMENTS,18487.00
CDBG,0J45,CDBG,54,PLANNING AND DEVELOPMENT,2505,FINANCE AND ADMINISTRATION,166,DUES  SUBSC & MEM,1650.00
GRANTS,0Z67,COPS HIRING PROGRAM,57,CPD,2983,COPS HIRING PROGRAM,6,SALARY PROVISION,1065000.00
LOCAL,0314,SEWER FUND,99,FINANCE GENERAL,2005,FINANCE GENERAL,934,CLAIMS AGAINST THE CITY,25000.00
LOCAL,0100,CORPORATE FUND,33,DHR,2005,HUMAN RESOURCES,162,REPAIR/MAINT EQUIPMENT,3500.00
LOCAL,0200,WATER FUND,6,DOIT,2005,DOIT,139,IT DEVELOPMENT,820000.00
GRANTS,0U26,MATERNAL AND CHILD HEALTH,41,HEALTH,2910,MATERNAL AND CHILD HEALTH,5,SALARIES AND WAGES - ON PAYROLL,2622176.00
LOCAL,0100,CORPORATE FUND,60,COPA,2005,COPA,320,GASOLINE,500.00
LOCAL,0300,VEHICLE FUND,84,CDOT,2155,IN-HOUSE CONSTRUCTION,15,SCHEDULE SALARY ADJUSTMENTS,3685.00
GRANTS,0U22,HOUSING OPPORTUNITIES - AIDS,41,HEALTH,2932,HOPWA,9438,REIMBURSEMENT - 2FM,3000.00
LOCAL,0740,O HARE REVENUE FUND,59,CFD,2005,Chicago Fire Department,24,COMPENSATORY TIME PAYMENT,90000.00
CDBG,0J45,CDBG,21,HOUSING,2563,Construction and Compliance,5,SALARIES AND WAGES - ON PAYROLL,956822.00
LOCAL,0100,CORPORATE FUND,15,CITY COUNCIL,2275,COMM ON ZONING/LANDMARK/BUILD,300,COMMODITIES AND MATERIALS,74700.00
GRANTS,0U25,LOCAL HEALTH PROTECTION,41,HEALTH,2730,Local Health Protection,801,INDIRECT COSTS,408000.00
CDBG,0J45,CDBG,21,HOUSING,2563,Construction and Compliance,155,RENTAL OF PROPERTY,133065.00
LOCAL,0100,CORPORATE FUND,15,CITY COUNCIL,2220,COMMITTEE ON AVIATION,700,CONTINGENCIES,750.00
LOCAL,0100,CORPORATE FUND,84,CDOT,2155,IN-HOUSE CONSTRUCTION,185,WASTE DISPOSAL SERVICES,35365.00
GRANTS,0U25,LOCAL HEALTH PROTECTION,41,HEALTH,2730,Local Health Protection,189,TELEPHONE - NON-CENTREX BILLINGS,14250.00
LOCAL,0100,CORPORATE FUND,81,DSS,2020,BUREAU OF SANITATION,197,TELEPHONE - MAINTENANCE,2425.00
LOCAL,0B21,TIF ADMINISTRATION,99,FINANCE GENERAL,2005,FINANCE GENERAL,56,DENTAL PLAN PREMIUMS,28404.00
CDBG,0J45,CDBG,21,HOUSING,2556,Developer Services,140,PROFESSIONAL AND TECHNICAL SERVICES,150000.00
LOCAL,0B32,GARBAGE COLLECTION FUND,81,DSS,2020,BUREAU OF SANITATION,15,SCHEDULE SALARY ADJUSTMENTS,90374.00
LOCAL,0100,CORPORATE FUND,31,LAW,2005,LAW,166,DUES  SUBSC & MEM,103638.00
LOCAL,0100,CORPORATE FUND,38,FFM,2140,FLEET OPERATIONS,348,BOOKS AND RELATED MATERIAL,588.00
LOCAL,0683,POLICEMEN'S ANNUITY AND BENEFIT,99,FINANCE GENERAL,2005,FINANCE GENERAL,976,EMPLOYEE ANNUITY AND BENEFIT,579000000.00
LOCAL,0100,CORPORATE FUND,30,ADMINISTRATIVE HEARINGS,2005,ADMINISTRATIVE HEARINGS,15,SCHEDULE SALARY ADJUSTMENTS,12488.00
GRANTS,0T85,FOSTER GRANDPARENTS,50,DFSS,2815,FOSTER GRANDPARENTS,140,PROFESSIONAL AND TECHNICAL SERVICES,10034.00
LOCAL,0100,CORPORATE FUND,59,CFD,2005,Chicago Fire Department,20,OVERTIME,30000000.00
LOCAL,0100,CORPORATE FUND,84,CDOT,2130,Traffic Safety,245,REIMBURSEMENT TO TRAVELERS,2500.00
LOCAL,0100,CORPORATE FUND,84,CDOT,2115,ADMINISTRATION,152,ADVERTISING,250.00
GRANTS,0U58,GENETICS EDUCATION / FOLLOW UP SERVICES,41,HEALTH,2729,Genetics Education,44,FRINGE BENEFITS,43516.00
LOCAL,0740,O HARE REVENUE FUND,59,CFD,2005,Chicago Fire Department,12,CONTRACT WAGE - PREVAILING RATE,1173.00
LOCAL,0100,CORPORATE FUND,84,CDOT,2115,ADMINISTRATION,168,EDUCATION DEVELOPMENT,2400.00
GRANTS,0Y11,EMERGENCY SOLUTIONS,50,DFSS,2944,Emergency Solutions,44,FRINGE BENEFITS,130659.00
LOCAL,0740,O HARE REVENUE FUND,31,LAW,2005,LAW,157,RENTAL EQUIPMENT AND SERVICES,748.00
LOCAL,0100,CORPORATE FUND,6,DOIT,2005,DOIT,169,TECHNICAL MEETING COSTS,72700.00
LOCAL,0610,MIDWAY AIRPORT FUND,27,FINANCE,2011,CITY COMPTROLLER,140,PROFESSIONAL AND TECHNICAL SERVICES,6552.00
LOCAL,0100,CORPORATE FUND,27,FINANCE,2020,REVENUE SERVICES AND OPERATION,339,REVENUE STAMPS,45150.00
GRANTS,0Z82,VIOLENCE AGAINST WOMEN ACT - SEXUAL,57,CPD,2842,VIOLENCE AGAINST WOMEN - SAP,6,SALARY PROVISION,25000.00
LOCAL,0300,VEHICLE FUND,25,CITY CLERK,2005,CITY CLERK,5,SALARIES AND WAGES - ON PAYROLL,4084029.00
LOCAL,0100,CORPORATE FUND,27,FINANCE,2015,FINANCIAL STRATEGY AND OPS,166,DUES  SUBSC & MEM,8539.00
LOCAL,0355,SPECIAL EVENTS / MUNICIPAL HOTEL T/F,99,FINANCE GENERAL,2005,FINANCE GENERAL,140,PROFESSIONAL AND TECHNICAL SERVICES,5020476.00
LOCAL,0B39,HUMAN CAPITAL INNOVATION,50,DFSS,2005,FAMILY AND SUPPORT SERVICES,9254,VIOLENCE REDUCTION PROGRAM,340000.00
LOCAL,0100,CORPORATE FUND,54,PLANNING AND DEVELOPMENT,2005,Planning and Development,50,STIPENDS,62000.00
LOCAL,0100,CORPORATE FUND,59,CFD,2005,Chicago Fire Department,186,PAGERS,400.00
GRANTS,0M02,OEMC,58,OEMC,2826,COM ED - WEATHERIZATION,140,PROFESSIONAL AND TECHNICAL SERVICES,47000.00
LOCAL,0200,WATER FUND,99,FINANCE GENERAL,2005,FINANCE GENERAL,9027,SOCIAL SECURITY TAX,37191.00
LOCAL,0740,O HARE REVENUE FUND,85,AVIATION,2015,CHICAGO-O'HARE INT'L AIRPORT,15,SCHEDULE SALARY ADJUSTMENTS,292120.00
LOCAL,0100,CORPORATE FUND,39,ELECTIONS,2005,ELECTION AND ADMIN DIVISION,178,FREIGHT AND EXPRESS CHARGES,1653200.00
LOCAL,0100,CORPORATE FUND,99,FINANCE GENERAL,2005,FINANCE GENERAL,9240,CTA CAPITAL,16000000.00
LOCAL,0100,CORPORATE FUND,38,FFM,2140,FLEET OPERATIONS,338,LICENSE STICKER TAG AND PLATES,100000.00
CDBG,0J45,CDBG,45,HUMAN RELATIONS,2505,EDUCATION  OUTREACH AND INTERG,9438,REIMBURSEMENT - 2FM,17250.00
GRANTS,0U58,GENETICS EDUCATION / FOLLOW UP SERVICES,41,HEALTH,2729,Genetics Education,11,CONTRACT WAGE - SALARY,7514.00
GRANTS,0U25,LOCAL HEALTH PROTECTION,41,HEALTH,2730,Local Health Protection,140,PROFESSIONAL AND TECHNICAL SERVICES,1507755.00
LOCAL,0200,WATER FUND,27,FINANCE,2011,CITY COMPTROLLER,140,PROFESSIONAL AND TECHNICAL SERVICES,4552.00
LOCAL,0100,CORPORATE FUND,70,BACP,2005,BACP,197,TELEPHONE - MAINTENANCE,4000.00
LOCAL,0610,MIDWAY AIRPORT FUND,31,LAW,2005,LAW,348,BOOKS AND RELATED MATERIAL,589.00
LOCAL,0100,CORPORATE FUND,28,TREASURER,2005,CITY TREASURER,270,LOCAL TRANSPORTATION,500.00
GRANTS,0833,MOPD PRIVATE FUNDED,48,MOPD,2800,AMPLIFIED PHONES PROGRAM,140,PROFESSIONAL AND TECHNICAL SERVICES,102000.00
LOCAL,0314,SEWER FUND,31,LAW,2005,LAW,20,OVERTIME,529.00
LOCAL,0100,CORPORATE FUND,57,CPD,1005,Chicago Police Department,178,FREIGHT AND EXPRESS CHARGES,24000.00
GRANTS,0Y02,STATE FOSTER GRANDPARENTS,50,DFSS,2818,STATE FOSTER GRANDPARENTS,330,FOOD,3242.00
LOCAL,0610,MIDWAY AIRPORT FUND,59,CFD,2005,Chicago Fire Department,5,SALARIES AND WAGES - ON PAYROLL,6401152.00
CDBG,0J45,CDBG,45,HUMAN RELATIONS,2510,FAIR HOUSING,135,DELEGATE AGENCIES,119991.00
LOCAL,0100,CORPORATE FUND,38,FFM,2131,BUREAU OF ASSET MANAGEMENT,350,STATIONERY AND OFFICE SUPPLIES,470000.00
LOCAL,0100,CORPORATE FUND,81,DSS,2025,BUREAU OF RODENT CONTROL,313,CLEANING AND SANITATION SUPPLIES,304.00
LOCAL,0100,CORPORATE FUND,28,TREASURER,2005,CITY TREASURER,245,REIMBURSEMENT TO TRAVELERS,14500.00
GRANTS,0Y32,STATE SENIOR COMPANION MATCH,50,DFSS,2803,STATE SENIOR COMPANION MATCH,140,PROFESSIONAL AND TECHNICAL SERVICES,16000.00
CDBG,0J45,CDBG,21,HOUSING,2563,Construction and Compliance,245,REIMBURSEMENT TO TRAVELERS,1500.00
LOCAL,0100,CORPORATE FUND,28,TREASURER,2005,CITY TREASURER,9438,REIMBURSEMENT - 2FM,6000.00
LOCAL,0300,VEHICLE FUND,27,FINANCE,2020,REVENUE SERVICES AND OPERATION,130,POSTAGE,1000.00
LOCAL,0B39,HUMAN CAPITAL INNOVATION,50,DFSS,2005,FAMILY AND SUPPORT SERVICES,9204,YOUTH MENTORING PROGRAMS,1991000.00
LOCAL,0100,CORPORATE FUND,81,DSS,2025,BUREAU OF RODENT CONTROL,190,TELEPHONE - NON-CENTREX BILLINGS,14600.00
LOCAL,0353,EMERGENCY COMMUN FD,58,OEMC,2705,OEMC,139,IT DEVELOPMENT,7500000.00
LOCAL,0996,AFFORDABLE HOUSING OPPORTUNITY FUND,21,HOUSING,2010,Department of Housing,5,SALARIES AND WAGES - ON PAYROLL,1254912.00
LOCAL,0100,CORPORATE FUND,1,MAYOR,2005,OFFICE OF THE MAYOR,159,LEASE/PURCHASE EQUIPMENT,52000.00
GRANTS,0T79,HEAD START,50,DFSS,2860,HEAD START,159,LEASE/PURCHASE EQUIPMENT,40289.00
GRANTS,0U25,LOCAL HEALTH PROTECTION,41,HEALTH,2730,Local Health Protection,20,OVERTIME,3000.00
LOCAL,0383,MFT DEBT SERVICE,99,FINANCE GENERAL,2005,FINANCE GENERAL,943,INTEREST ON LOANS,3222000.00
LOCAL,0100,CORPORATE FUND,81,DSS,2045,BUREAU OF STREET OPERATIONS,20,OVERTIME,1629000.00
GRANTS,0U38,WOMEN  INFANTS AND CHILDREN NUTRITION,41,HEALTH,2808,WIC NUTRITION,331,ELECTRICITY,300.00
LOCAL,0346,LIBRARY FUND,91,CPL,2005,CHICAGO PUBLIC LIBRARY,197,TELEPHONE - MAINTENANCE,18110.00
GRANTS,0Y38,TITLE XX DONATED FUNDS,50,DFSS,2873,TITLE XX DONATED FUNDS,135,DELEGATE AGENCIES,1214438.00
LOCAL,0300,VEHICLE FUND,99,FINANCE GENERAL,2005,FINANCE GENERAL,49,WORKERS' COMPENSATION,12500000.00
LOCAL,0100,CORPORATE FUND,38,FFM,2131,BUREAU OF ASSET MANAGEMENT,179,MESSENGER SERVICES,3000.00
GRANTS,0Y44,CHA FAMILY SUPPORTIVE SERVICES,50,DFSS,2896,CHA FAMILY SUPPORTIVE SERVICES,135,DELEGATE AGENCIES,2236400.00
LOCAL,0100,CORPORATE FUND,81,DSS,2060,BUREAU OF FORESTRY,350,STATIONERY AND OFFICE SUPPLIES,5400.00
CDBG,0J45,CDBG,21,HOUSING,2563,Construction and Compliance,140,PROFESSIONAL AND TECHNICAL SERVICES,27625.00
LOCAL,0740,O HARE REVENUE FUND,58,OEMC,2705,OEMC,340,MATERIAL AND SUPPLIES,4500.00
LOCAL,0100,CORPORATE FUND,81,DSS,2060,BUREAU OF FORESTRY,130,POSTAGE,120.00
LOCAL,0100,CORPORATE FUND,67,BUILDINGS,2005,BUILDINGS,20,OVERTIME,100000.00
GRANTS,0Z93,ASSISTANCE TO FIREFIGHTERS,59,CFD,2812,ASSISTANCE TO FIREFIGHTERS,140,PROFESSIONAL AND TECHNICAL SERVICES,450000.00
GRANTS,0833,MOPD PRIVATE FUNDED,48,MOPD,2800,AMPLIFIED PHONES PROGRAM,169,TECHNICAL MEETING COSTS,4000.00
LOCAL,0100,CORPORATE FUND,57,CPD,1005,Chicago Police Department,338,LICENSE STICKER TAG AND PLATES,750.00
LOCAL,0100,CORPORATE FUND,60,COPA,2005,COPA,9438,REIMBURSEMENT - 2FM,3000.00
LOCAL,0200,WATER FUND,88,DWM,2005,COMMISSIONER'S OFFICE,5,SALARIES AND WAGES - ON PAYROLL,4937202.00
LOCAL,0355,SPECIAL EVENTS / MUNICIPAL HOTEL T/F,23,DCASE,2015,CULTURAL AFFAIRS SPECIAL EVENT,130,POSTAGE,45000.00
LOCAL,0100,CORPORATE FUND,45,HUMAN RELATIONS,2005,HUMAN RELATIONS,270,LOCAL TRANSPORTATION,800.00
LOCAL,0100,CORPORATE FUND,25,CITY CLERK,2005,CITY CLERK,130,POSTAGE,50243.00
GRANTS,0X75,IMMUNIZATIONS AND VACCINES FOR CHILDREN,41,HEALTH,2820,IMMUNIZATIONS,140,PROFESSIONAL AND TECHNICAL SERVICES,543000.00
LOCAL,0100,CORPORATE FUND,1,MAYOR,2005,OFFICE OF THE MAYOR,169,TECHNICAL MEETING COSTS,6000.00
LOCAL,0200,WATER FUND,67,BUILDINGS,2005,BUILDINGS,181,MOBILE COMMUNICATION SERVICES,27000.00
GRANTS,0T80,EARLY HEAD START INITIATIVE,50,DFSS,2857,EARLY HEAD START INITIATIVE,166,DUES  SUBSC & MEM,208001.00
LOCAL,0100,CORPORATE FUND,84,CDOT,2155,IN-HOUSE CONSTRUCTION,350,STATIONERY AND OFFICE SUPPLIES,2000.00
LOCAL,0100,CORPORATE FUND,81,DSS,2005,COMMISSIONER'S OFFICE,130,POSTAGE,250.00
LOCAL,0100,CORPORATE FUND,50,DFSS,2005,FAMILY AND SUPPORT SERVICES,9263,HOMELESS SERVICES,9593069.00
LOCAL,0300,VEHICLE FUND,31,LAW,2005,LAW,229,TRANSPORTATION AND EXPENSE ALLOWANCE,250.00
LOCAL,0100,CORPORATE FUND,38,FFM,2126,BUREAU OF FACILITY MANAGEMENT,157,RENTAL EQUIPMENT AND SERVICES,697425.00
LOCAL,0100,CORPORATE FUND,81,DSS,2020,BUREAU OF SANITATION,401,TOOL <= $100 UNIT,33102.00
LOCAL,0100,CORPORATE FUND,84,CDOT,2145,PROJECT DEVELOPMENT,190,TELEPHONE - NON-CENTREX BILLINGS,8700.00
LOCAL,0B09,CTA REAL PROPERTY TRANSFER TAX,99,FINANCE GENERAL,2005,FINANCE GENERAL,9205,FOR DISTRIBUTION - CTA,63360000.00
GRANTS,0U74,WOMEN INFANTS AND CHILDREN NUTRITION,41,HEALTH,2808,WIC NUTRITION,135,DELEGATE AGENCIES,1401638.00
CDBG,0J45,CDBG,21,HOUSING,2562,Neighborhood Lending,135,DELEGATE AGENCIES,3069370.00
GRANTS,0U25,LOCAL HEALTH PROTECTION,41,HEALTH,2730,Local Health Protection,152,ADVERTISING,233.00
LOCAL,0100,CORPORATE FUND,39,ELECTIONS,2005,ELECTION AND ADMIN DIVISION,150,PUBLICATN & REPRODT-OUT,971945.00
GRANTS,0X84,SUMMER FOOD PROGRAM,41,HEALTH,2984,SUMMER FOOD PROGRAM,140,PROFESSIONAL AND TECHNICAL SERVICES,229000.00
LOCAL,0200,WATER FUND,88,DWM,2015,ENGINEERING SERVICES,140,PROFESSIONAL AND TECHNICAL SERVICES,1800000.00
GRANTS,0Y16,FOSTER GRANDPARENTS,50,DFSS,2815,FOSTER GRANDPARENTS,5,SALARIES AND WAGES - ON PAYROLL,104735.00
GRANTS,0Y10,COMMUNITY SERVICES BLOCK GRANT,50,DFSS,2805,CSBG,197,TELEPHONE - MAINTENANCE,3439.00
GRANTS,0X42,HIV BEHAVIORAL SURVEILLANCE,41,HEALTH,2978,HIV BEHAVIORAL SURVEILLANCE,5,SALARIES AND WAGES - ON PAYROLL,85403.00
LOCAL,0100,CORPORATE FUND,50,DFSS,2005,FAMILY AND SUPPORT SERVICES,340,MATERIAL AND SUPPLIES,5310.00
LOCAL,0300,VEHICLE FUND,99,FINANCE GENERAL,2005,FINANCE GENERAL,42,TEXT FILE - EXTRA LONG,10083848.00
LOCAL,0100,CORPORATE FUND,81,DSS,2060,BUREAU OF FORESTRY,361,BUILDING MATERIALS AND SUPPLIES,1500.00
LOCAL,0300,VEHICLE FUND,31,LAW,2005,LAW,162,REPAIR/MAINT EQUIPMENT,114.00
